"Date","Price","Open","High","Low","Vol.","Change %"
"01/20/2023","1,228.86","1,232.63","1,238.44","1,229.53","","-0.27%"
"01/19/2023","1,232.21","1,238.11","1,242.45","1,231.53","","-0.44%"
"01/18/2023","1,237.69","1,237.36","1,247.12","1,225.56","","0.03%"
"01/17/2023","1,237.34","1,241.98","1,242.59","1,235.77","","-0.34%"
"01/16/2023","1,241.61","1,237.10","1,242.73","1,231.51","","0.35%"
"01/13/2023","1,237.26","1,239.51","1,246.42","1,233.79","","-0.15%"
"01/12/2023","1,239.12","1,242.41","1,247.73","1,234.95","","-0.27%"
"01/11/2023","1,242.50","1,241.22","1,250.48","1,238.10","","0.14%"
"01/10/2023","1,240.80","1,239.69","1,248.82","1,235.71","","0.12%"
"01/09/2023","1,239.28","1,254.50","1,254.70","1,234.54","","-1.13%"
"01/06/2023","1,253.50","1,274.58","1,275.33","1,251.84","","-1.63%"
"01/05/2023","1,274.26","1,271.39","1,279.14","1,267.05","","0.26%"
"01/04/2023","1,270.98","1,279.59","1,280.77","1,269.04","","-0.63%"
"01/03/2023","1,279.10","1,269.93","1,281.23","1,264.35","","0.79%"
"01/02/2023","1,269.03","1,261.95","1,274.86","1,260.65","","0.64%"
"12/30/2022","1,260.92","1,261.24","1,265.34","1,253.26","","0.01%"
"12/29/2022","1,260.85","1,274.71","1,275.32","1,259.19","","-1.06%"
"12/28/2022","1,274.37","1,272.25","1,276.66","1,265.57","","0.20%"
"12/27/2022","1,271.79","1,274.91","1,275.63","1,264.85","","-0.17%"
"12/26/2022","1,273.91","1,279.80","1,282.20","1,273.89","","-0.44%"
"12/23/2022","1,279.55","1,291.94","1,292.57","1,278.05","","-0.94%"
"12/22/2022","1,291.64","1,280.37","1,292.51","1,272.36","","0.97%"
"12/21/2022","1,279.21","1,284.06","1,289.91","1,279.91","","-0.35%"
"12/20/2022","1,283.71","1,301.65","1,305.45","1,281.52","","-1.35%"
"12/19/2022","1,301.29","1,311.55","1,311.58","1,296.85","","-0.62%"
"12/16/2022","1,309.47","1,319.51","1,320.05","1,304.73","","-0.69%"
"12/15/2022","1,318.51","1,295.91","1,320.61","1,293.61","","1.78%"
"12/14/2022","1,295.42","1,289.57","1,302.55","1,288.77","","0.49%"
"12/13/2022","1,289.13","1,307.07","1,309.66","1,288.79","","-1.30%"
"12/12/2022","1,306.08","1,303.95","1,314.15","1,303.26","","0.17%"
"12/09/2022","1,303.87","1,316.82","1,318.23","1,298.73","","-0.91%"
"12/08/2022","1,315.83","1,314.77","1,323.95","1,314.48","","0.11%"
